Localidad,Departamento,Fuente,Tipo_Punto,PUNTO_DE_MUESTREO,Fecha_de_monitoreo,Ph,T_°C,TDS_mg_l,Turb_NTU,Salinidad_mg_l,As_mg_l,Fluor_mg_l,NO3_mg_l,OD_mg_l,Sat_O2_pct,Clorofila_ug_l,Algas_BGA,Cloro_libre_mg_l,Latitud,Longitud
COPACABANA,TINOGASTA,SUBTERRANEA,,POZO GRECO,1/3/2025,7.35,28.6,1952,2.35,1759.36,0.004,0.88,5.61,,,,,,-28.173542,-67.493337
SAN JOSE,TINOGASTA,SUBTERRANEA,,POZO EL BREAL,3/10/2025,7.24,20.3,1187,0.6,1097.6,0.01,0.95,6.66,,,,,,-28.000059,-67.600649
SAN JOSE,TINOGASTA,SUBTERRANEA,,POZO RETIRO,3/10/2025,7.8,25.1,831,0.71,790.4,0.01,0.67,5.32,,,,,,-28.000016,-67.625427
CIUDAD DE TINOGASTA,TINOGASTA,SUBTERRANEA,,POZO SANTA ROSA,3/10/2025,7.43,23.2,1129,0.32,1033.6,0.01,0.83,6.11,,,,,,-28.019417,-67.601602
CIUDAD DE TINOGASTA,TINOGASTA,SUBTERRANEA,,POZO SANTO DOMINGO,3/10/2025,7.54,24.7,1095,0.19,1025.92,0.01,0.74,5.91,,,,,,-28.036928,-67.595348
CIUDAD DE TINOGASTA,TINOGASTA,SUBTERRANEA,,POZO LOS ROBLEDOS,3/10/2025,7.47,26,1505,0.36,1379.2,0.01,1.08,5.27,,,,,,-28.0667,-67.578184
CIUDAD DE TINOGASTA,TINOGASTA,SUBTERRANEA,,POZO  LOS PALACIOS,3/10/2025,8.29,26.4,1285,12.3,1193.6,0.01,0.5,1.31,,,,,,-28.085729,-67.575287
CIUDAD DE TINOGASTA,TINOGASTA,SUBTERRANEA,,POZO B° 200 VV,3/10/2025,7.43,25,1838,0.49,1176.32,0.01,0.79,6.43,,,,,,-28.068797,-67.556181
FIAMBALA,TINOGASTA,SUBTERRANEA,,POZO GENDARMERÍA,3/11/2025,7.9,18.8,1071,0.61,993.28,0.03,0.58,7.81,,,,,,-27.705931,-67.629454
FIAMBALA,TINOGASTA,SUBTERRANEA,,POZO LA RAMADITA,3/11/2025,7.72,19.6,788.9,0.19,743.04,0.03,1,9.5,,,,,,-27.666883,-67.61756
FIAMBALA,TINOGASTA,SUBTERRANEA,,POZO PAMPA BLANCA,3/11/2025,7.72,19.6,613,0.13,582.66,0.03,1.11,6.6,,,,,,-27.639389,-67.617228
FIAMBALA,TINOGASTA,SUBTERRANEA,,POZO AERODROMO,3/11/2025,7.73,20,656.3,0.13,622.98,0.03,0.68,8.65,,,,,,-27.651965,-67.626237
FIAMBALA,TINOGASTA,SUBTERRANEA,,POZO ENTRE RIOS,3/11/2025,7.51,21,760.5,0.44,718.08,0.01,0.61,9.85,,,,,,-27.667654,-67.626119
FIAMBALA,TINOGASTA,SUBTERRANEA,,POZO JUAN MANUEL SALAS,3/11/2025,7.59,20.7,711.3,0.29,673.28,0.01,0.7,10.26,,,,,,-27.655124,-67.628646
FIAMBALA,TINOGASTA,SUBTERRANEA,,POZO CLUB RACING,3/11/2025,7.73,22.5,756.9,0.29,718.08,0.01,0.94,8.07,,,,,,-27.683098,-67.619299
EL PUESTO,TINOGASTA,SUBTERRANEA,,POZO,3/12/2025,8.41,29.5,618.4,0.92,601.54,0.01,0.63,3.95,,,,,,-27.955305,-67.633637
CIUDAD DE TINOGASTA,TINOGASTA,SUBTERRANEA,,POZO LOS GUAYTIMAS,4/22/2025,6.16,24.1,1507,1.94,1352.32,0.01,0.34,11.2,,,,,,-28.076069,-67.58642
EL PUEBLITO,TINOGASTA,SUBTERRANEA,,POZO,5/6/2025,7.19,22.4,1926,15.2,1690.24,0.01,1.92,2.44,,,,,,-28.287689,-67.160075
EL PUEBLITO,TINOGASTA,SUBTERRANEA,,POZO,5/15/2025,6.23,24.4,2089,0.97,1824.64,0.01,1.54,0.61,,,,,,-28.287689,-67.160075
BANDA DE LUCERO,TINOGASTA,SUBTERRANEA,,POZO OSCA,5/13/2025,6.7,24.3,904.3,0.19,839.68,0.02,3.22,5.9,,,,,,-28.172244,-67.46406
SAN JOSE,TINOGASTA,SUBTERRANEA,,POZO EL BREAL,5/22/2025,7.21,19.2,1182,1.02,1067.52,0.02,1.62,5.09,,,,,,-28.000059,-67.600649
SAUJIL,TINOGASTA,SUBTERRANEA,,POZO,6/5/2025,8.23,20.8,323.6,0.14,306.11,0.01,0.26,3.78,,,,,,-27.568301,-67.622925
MEDANITOS,TINOGASTA,SUBTERRANEA,,POZO,6/5/2025,8.08,20.8,659.9,0.46,614.4,0.03,0.47,4.94,,,,,,-27.523929,-67.599667
LOS NACIMIENTOS,TINOGASTA,SUBTERRANEA,,POZO,6/5/2025,8.16,18.2,658.7,0.45,603.14,0.03,0.77,6.11,,,,,,-27.474152,-67.603249
TATON,TINOGASTA,SUPERFICIAL,,CIS,6/5/2025,8.56,13.2,304.7,2.28,283.52,0.01,0.48,1.6,,,,,,-27.334871,-67.516694
PUERTA DE TATON,TINOGASTA,SUPERFICIAL,,CIS,6/5/2025,9.04,13.7,208.1,0.25,198.91,0.01,0.71,0.29,,,,,,-27.336645,-67.780562
COPACABANA,TINOGASTA,SUBTERRANEA,,POZO OSCA,6/6/2025,9.08,20.8,945.6,20.3,858.88,0.004,1.09,1.36,,,,,,-28.18188,-67.483873
EL PUEBLITO,TINOGASTA,SUBTERRANEA,,POZO,8/19/2025,7.48,21.1,2131,1.03,1808.64,0.02,0.66,0.98,,,,,,-28.287689,-67.160075
EL SALADO,TINOGASTA,SUBTERRANEA,,POZO B° CENTRO,8/19/2025,8.51,23.2,484.4,1.19,451.84,0.06,0.66,8.18,,,,,,-28.305119,-67.250988
BANDA DE LUCERO,TINOGASTA,SUBTERRANEA,,POZO BANDA,8/19/2025,7.86,21.9,732.5,0.57,668.16,0.01,1.75,9.06,,,,,,-28.140582,-67.478402
LA PUNTILLA,TINOGASTA,SUBTERRANEA,,POZO,8/19/2025,7.91,22.4,930.5,0.31,840.32,0.004,0.35,9.18,,,,,,-28.116187,-67.50629
CIUDAD DE TINOGASTA,TINOGASTA,SUBTERRANEA,,POZO GENDARMERÍA,8/19/2025,7.62,20.4,1124,1.5,1002.24,0.02,0.49,6.29,,,,,,-28.061586,-67.556538
CIUDAD DE TINOGASTA,TINOGASTA,SUBTERRANEA,,POZO SANTA ROSA,8/19/2025,7.6,20.7,1140,0.71,1014.4,0.02,0.5,5.67,,,,,,-28.019536,-67.601505
COPACABANA,TINOGASTA,SUBTERRANEA,,POZO OSCA,9/16/2025,7.39,24,1170,1.04,1081.6,0.004,1.13,3.82,,,,,,-28.18188,-67.483873
LOS NACIMIENTOS,TINOGASTA,SUBTERRANEA,,POZO,10/2/2025,7.91,19.5,628.4,0.73,594.5,0.02,0.66,5.54,,,,,,-27.474152,-67.603249
LA SOLEDAD,TINOGASTA,SUBTERRANEA,,POZO,10/2/2025,8.02,23.4,329.1,0.52,324.8,0.01,0.39,2.92,,,,,,-27.489829,-67.593088
ANTINACO,TINOGASTA,SUPERFICIAL,,CIS,10/3/2025,8.71,16.3,177.6,1.29,176.26,0.004,0.26,0.51,,,,,,-27.211742,-67.599932
PALO BLANCO,TINOGASTA,SUPERFICIAL,,ENTRADA DE PLANTA,12/5/2024,8.71,15.8,152.1,3.52,148.42,0.01,0.33,0.82,,,,,,-27.336645,-67.780562
PUNTA DE AGUA,TINOGASTA,SUPERFICIAL,,ENTRADA DE PLANTA,12/5/2024,8.79,17.6,184.6,15.6,180.1,0.01,0.45,0.42,,,,,,-27.205524,-67.767619
CHUQUISACA,TINOGASTA,SUPERFICIAL,,ENTRADA DE PLANTA,12/5/2024,8.94,22.1,574.1,5.51,535.42,0.01,0.75,0.26,,,,,,-27.1095,-67.701451
MESADA DE ZARATE,TINOGASTA,SUPERFICIAL,,RED,12/5/2024,8.75,21.9,212.9,2.31,206.91,0.01,0.47,0.3,,,,,,-27.106461,-67.67422
CIENAGA,TINOGASTA,SUPERFICIAL,,ENTRADA DE PLANTA,12/5/2024,8.04,24.4,159.4,3.07,157.57,0.01,0.36,0.55,,,,,,-27.130828,-67.664318
ANTINACO,TINOGASTA,SUBTERRANEA,,CIS,12/5/2024,8.08,26.6,202.2,1.79,199.74,0.01,0.41,1.35,,,,,,-27.211742,-67.599932
MEDANITOS,TINOGASTA,SUBTERRANEA,,POZO,12/5/2024,8,26.3,650.5,1.5,610.11,0.02,0.58,1.32,,,,,,-27.523929,-67.599667
LA SOLEDAD ,TINOGASTA,SUBTERRANEA,,POZO,12/5/2024,8.39,24.1,331.6,0.32,317.18,0.01,0.48,3.05,,,,,,-27.489829,-67.593088
LOS NACIMIENTOS,TINOGASTA,SUBTERRANEA,,POZO,12/5/2024,8.17,22,767.8,0.42,707.84,0.03,1.14,5.25,,,,,,-27.474152,-67.603249
SAUJIL,TINOGASTA,SUBTERRANEA,,POZO,12/5/2024,8.19,25.8,316.7,0.25,305.22,0.01,0.36,4.21,,,,,,-27.568301,-67.622925
ANILLACO,TINOGASTA,SUBTERRANEA,,POZO,12/5/2024,7.97,22.2,862.5,0.23,791.04,0.03,0.63,5.54,,,,,,-27.897459,-67.636425
EL PUESTO,TINOGASTA,SUBTERRANEA,,POZO,12/5/2024,8.25,30.5,617,0.3,584.7,0.02,0.71,1.37,,,,,,-27.955305,-67.633637
SAN JOSE,TINOGASTA,SUBTERRANEA,,POZO EL RETIRO,12/5/2024,7.93,26.6,794.9,0.41,737.28,0.01,0.7,2.81,,,,,,-28.000016,-67.625427
CIUDAD DE TINOGASTA,TINOGASTA,SUBTERRANEA,,POZO SANTO DOMINGO,12/5/2024,7.97,26,1096,0.18,999.04,0.01,0.8,3.27,,,,,,-28.036928,-67.595348
CIUDAD DE TINOGASTA,TINOGASTA,SUBTERRANEA,,POZO LOS ROBLEDOS,12/5/2024,7.68,26.9,1552,0.76,1379.84,0.01,1.07,2.8,,,,,,-28.0667,-67.578184
